index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,totals,weekday,Start_Lon_mean,Start_Lat_mean,End_Lon_mean,End_Lat_mean,Start_Lon_std,Start_Lat_std,End_Lon_std,End_Lat_std,Start_Lon_meanAM,Start_Lat_meanAM,End_Lon_meanAM,End_Lat_meanAM,Start_Lon_stdAM,Start_Lat_stdAM,End_Lon_stdAM,End_Lat_stdAM,Start_Lon_meanPM,Start_Lat_meanPM,End_Lon_meanPM,End_Lat_meanPM,Start_Lon_stdPM,Start_Lat_stdPM,End_Lon_stdPM,End_Lat_stdPM,cluster_id,holidays
2018-01-01,119.0,168.0,98.0,72.0,34.0,26.0,39.0,68.0,116.0,162.0,218.0,349.0,385.0,444.0,449.0,484.0,463.0,435.0,409.0,291.0,243.0,193.0,155.0,80.0,5500,0,-73.980465840197,40.73583774827249,-73.98050080178888,40.735450855293664,0.0188228444386124,0.03201601945479135,0.01889420162816722,0.03172891211447305,-73.976679061882,40.738504967219455,-73.97712919387651,40.739127055129345,0.022331936326838102,0.03311173565800795,0.022065126097303656,0.03185984249393188,-73.98134059433909,40.73535135290079,-73.98101822303765,40.7350526031058,0.018583137890390292,0.0312657850594884,0.018365452788889423,0.031383345885725424,4,Working Day
2018-01-02,51.0,22.0,16.0,7.0,31.0,181.0,575.0,1119.0,1940.0,1384.0,668.0,610.0,784.0,856.0,965.0,994.0,1388.0,2257.0,2068.0,1224.0,759.0,436.0,314.0,169.0,18818,1,-73.98281277809397,40.73862516000744,-73.98303395471173,40.73843274479519,0.01758412385989399,0.028663854551315773,0.017727232476107812,0.02851125431554988,-73.98241514488417,40.73742548505012,-73.98485444533377,40.73673193399217,0.017624627387210202,0.030296424592320605,0.0174621825216195,0.027546831567464125,-73.9835049333689,40.738453482210524,-73.98257861964508,40.73859303989996,0.017557079826253805,0.02695700172972389,0.017813490518575174,0.028433694503992562,2,Working Day
2018-01-03,109.0,35.0,39.0,19.0,43.0,222.0,745.0,1462.0,2651.0,1882.0,941.0,853.0,922.0,990.0,1150.0,1212.0,1641.0,2682.0,2577.0,1657.0,1037.0,676.0,475.0,279.0,24299,2,-73.98306803501787,40.738282466913034,-73.98319368036515,40.7379952328042,0.017526110061468887,0.028607659279849307,0.017595183410994197,0.02843351417330315,-73.98204838797794,40.737987413842454,-73.98464330711295,40.737402062104685,0.01756720937148695,0.029893668720589187,0.016993831480418938,0.02677800182356839,-73.98402457869004,40.73855040602908,-73.98303150290211,40.73844664609132,0.017026697445687702,0.027334711546725732,0.01727668403421293,0.028807936904790825,2,Working Day
2018-01-04,141.0,54.0,35.0,23.0,35.0,109.0,173.0,197.0,185.0,102.0,50.0,21.0,33.0,41.0,40.0,64.0,84.0,98.0,130.0,102.0,87.0,47.0,42.0,29.0,1922,3,-73.98255264545789,40.737551246487925,-73.9828059077217,40.73734088895269,0.018633165719233676,0.029246218246674976,0.018705609982582718,0.028969660886851517,-73.98197728382752,40.737882230440384,-73.98346511473716,40.73602960361562,0.01868794769897932,0.03127267637899951,0.018470922495789136,0.0276575474162028,-73.98368602641807,40.73464859024784,-73.98350692568303,40.73529265043162,0.018893872348819916,0.028490979569806743,0.01865494770297661,0.030560110719113125,0,Working Day
2018-01-05,27.0,13.0,2.0,3.0,8.0,32.0,110.0,244.0,475.0,370.0,221.0,195.0,249.0,258.0,268.0,296.0,390.0,552.0,480.0,308.0,171.0,130.0,99.0,71.0,4972,4,-73.98277270214594,40.73695861046517,-73.98319209071275,40.73670003068658,0.01818724157023899,0.028299645464715462,0.018091723667346616,0.02795959640115493,-73.98017206817156,40.736870216549725,-73.98264268395255,40.73653439702307,0.01773591208629838,0.029473581630614483,0.01772457462587254,0.026422105897366925,-73.98407340140801,40.73670139722475,-73.98372724002223,40.73657508057561,0.01787444824122015,0.02709933936716209,0.018192941233218674,0.028580040336899218,0,Working Day
2018-01-06,54.0,35.0,27.0,13.0,10.0,12.0,46.0,77.0,148.0,198.0,306.0,381.0,410.0,393.0,391.0,372.0,338.0,277.0,223.0,197.0,138.0,97.0,89.0,63.0,4295,5,-73.9812643199312,40.73376320143554,-73.98184829056939,40.73370848784279,0.018868930508634123,0.030632051872561638,0.01875785013286313,0.03037353113635833,-73.98148011653348,40.73365029559844,-73.98339536607351,40.7333216965993,0.019387447682663057,0.0312169492732336,0.01939321925334769,0.030631330456422808,-73.98305826787481,40.73349554043499,-73.98298022148819,40.73347299557825,0.017678241762276663,0.02965654103786642,0.017784357628194875,0.029603183882595457,0,Saturday
2018-01-07,59.0,26.0,20.0,12.0,13.0,10.0,25.0,78.0,139.0,267.0,335.0,436.0,483.0,517.0,469.0,540.0,485.0,423.0,398.0,293.0,209.0,169.0,140.0,94.0,5640,6,-73.98167654497905,40.73511503670163,-73.98205099596156,40.73486028868701,0.01884911809390257,0.031063243017789743,0.018773540046889692,0.030667242753229476,-73.9812126243867,40.737844528699604,-73.98300633341287,40.73697611977144,0.01829968962707437,0.03322334864373172,0.017121078038938763,0.03098668155222242,-73.98251672246454,40.73495238849307,-73.98251286285235,40.734473008999046,0.018579988618992797,0.03003415387327625,0.018506287086260783,0.029763174116081887,0,"Holiday, Sunday"
2018-01-08,43.0,24.0,17.0,13.0,35.0,164.0,486.0,1085.0,1801.0,1368.0,669.0,524.0,551.0,672.0,727.0,690.0,856.0,1495.0,1688.0,1175.0,749.0,460.0,338.0,191.0,15821,0,-73.98296882473346,40.738372571533866,-73.98328733044575,40.73824895926518,0.017929232484050886,0.0472652155409142,0.018076412067391013,0.0471211234417858,-73.98143296240195,40.737729517893065,-73.98477042357969,40.73678664691007,0.017362545788389833,0.029960350828582474,0.017094872388624945,0.0266891290955836,-73.98437109659194,40.738782499241594,-73.98337965932564,40.73919498026673,0.018297707698173248,0.07103559339767844,0.018638206586675157,0.07178201397012615,5,Working Day
2018-01-09,111.0,36.0,27.0,14.0,39.0,228.0,718.0,1551.0,2794.0,2019.0,1002.0,805.0,977.0,1068.0,1190.0,1245.0,1660.0,2766.0,2657.0,1727.0,1064.0,684.0,477.0,232.0,25091,1,-73.9835439858335,40.73834085899824,-73.98371313485112,40.73810376733007,0.017485613151911047,0.028266760255317488,0.01763648063922988,0.028045506919050084,-73.98215865010593,40.73818592381354,-73.9857472745102,40.73722581168686,0.017446859976464484,0.02993609574278612,0.01713733872333929,0.02620593109726669,-73.98471988835024,40.73830571883976,-73.98314390923652,40.73870334925015,0.017129120198381073,0.026658900262892384,0.017647347177241385,0.0286745225214982,5,Working Day
2018-01-10,127.0,48.0,35.0,17.0,33.0,250.0,823.0,1821.0,3262.0,2346.0,1170.0,964.0,1074.0,1196.0,1285.0,1499.0,1849.0,2855.0,2868.0,1827.0,1145.0,842.0,559.0,357.0,28252,2,-73.98331579713437,40.7383408209386,-73.9835712223626,40.73819137912561,0.017605365825990996,0.028518022456216218,0.017770790688482672,0.028197669790086782,-73.98232990531045,40.73727906799636,-73.98596385620516,40.736707359018816,0.017645543527315517,0.029934712254285633,0.01710372806902145,0.02631278397504967,-73.98473322354913,40.73847613646896,-73.98321576084587,40.73862364766378,0.017066622472221588,0.026503222202401817,0.017446934908905726,0.02865170691562318,5,Working Day
